SYMBOL,EXPIRY_DT,CLOSE24OCT2022,CLOSE25OCT2022,CLOSE27OCT2022,CLOSE28OCT2022,SETTLE_PR24OCT2022,SETTLE_PR25OCT2022,SETTLE_PR27OCT2022,SETTLE_PR28OCT2022,CONTRACTS24OCT2022,CONTRACTS25OCT2022,CONTRACTS27OCT2022,CONTRACTS28OCT2022,VAL_INLAKH24OCT2022,VAL_INLAKH25OCT2022,VAL_INLAKH27OCT2022,VAL_INLAKH28OCT2022,OPEN_INT24OCT2022,OPEN_INT25OCT2022,OPEN_INT27OCT2022,OPEN_INT28OCT2022,CHG_IN_OI24OCT2022,CHG_IN_OI25OCT2022,CHG_IN_OI27OCT2022,CHG_IN_OI28OCT2022
COLPAL,27-Oct-2022,1596.5,1617.65,1621.2,,1596.5,1617.65,1620.0,,94,2288,1069,,525.29,12924.14,6053.72,,1010100,452550,298200,,-3150,-557550,-154350,
DABUR,27-Oct-2022,535.8,533.25,549.35,,535.8,533.25,549.05,,415,3791,3245,,2786.06,25335.05,22072.59,,5751250,2485000,350000,,-37500,-3266250,-2135000,
DIVISLAB,27-Oct-2022,3611.75,3594.85,3625.8,,3611.75,3594.85,3621.05,,631,4602,3834,,3418.56,24749.77,20802.34,,1042050,606900,402600,,-29700,-435150,-204300,
DLF,27-Oct-2022,366.95,370.2,382.75,,366.95,370.2,383.5,,898,11921,6156,,5458.24,72949.96,38233.77,,19133400,5964750,948750,,-179850,-13168650,-5016000,
DRREDDY,27-Oct-2022,4377.0,4451.75,4486.15,,4377.0,4451.75,4491.2,,814,6599,4245,,4455.28,36686.28,23790.5,,655000,335125,87750,,-25000,-319875,-247375,
EICHERMOT,27-Oct-2022,3632.4,3709.6,3706.5,,3632.4,3709.6,3710.6,,446,5310,3811,,5689.65,68518.33,49271.17,,1869000,886200,357700,,-23100,-982800,-528500,
GAIL,27-Oct-2022,86.8,86.7,88.15,,86.8,86.7,88.05,,123,2194,2148,,979.16,17481.81,17208.91,,26333700,14612550,8052000,,-594750,-11721150,-6560550,
GODREJCP,27-Oct-2022,820.9,822.05,832.05,,820.9,822.05,835.6,,129,2662,1600,,1059.45,21814.26,13245.2,,2818000,945000,135000,,-32000,-1873000,-810000,
GRASIM,27-Oct-2022,1701.95,1718.15,1721.9,,1701.95,1718.15,1724.45,,580,3925,2357,,4684.9,32034.29,19331.8,,1888125,808925,191900,,-94050,-1079200,-617025,
HAL,27-Oct-2022,2415.35,2504.85,2523.35,,2415.35,2504.85,2520.45,,495,5427,3542,,5673.35,63687.33,42164.4,,2695625,1705250,845500,,-71250,-990375,-859750,
HAVELLS,27-Oct-2022,1173.8,1178.8,1184.55,,1173.8,1178.8,1186.5,,327,3917,1903,,1919.77,23073.15,11236.17,,1630500,476500,182500,,-20500,-1154000,-294000,
HCLTECH,27-Oct-2022,1033.75,1024.6,1029.4,,1033.75,1024.6,1032.05,,1171,7725,7301,,8489.2,55629.0,52366.31,,7284200,4452000,3453800,,-69300,-2832200,-998200,
HDFC,27-Oct-2022,2398.25,2360.3,2375.8,,2398.25,2360.3,2383.3,,4136,14354,17692,,29788.49,102590.61,126191.68,,6770700,3969900,324600,,-12900,-2800800,-3645300,
HDFCAMC,27-Oct-2022,2060.35,2061.9,2075.6,,2060.35,2061.9,2078.6,,171,3666,2094,,1057.74,22693.17,13102.27,,867000,312600,119700,,-6600,-554400,-192900,
HDFCBANK,27-Oct-2022,1462.55,1451.65,1452.35,,1462.55,1451.65,1454.4,,7075,30358,21546,,56920.62,243648.63,172615.45,,20375850,9060150,1595000,,-663300,-11315700,-7465150,
HDFCLIFE,27-Oct-2022,540.55,533.8,533.25,,540.55,533.8,533.0,,857,5859,7135,,5117.84,34702.69,41812.55,,9596400,5233800,511500,,-289300,-4362600,-4722300,
